ident	id	idAuthor	target	idDate	targetDate
268225	The happy-unfortunate	Lydia Grainger	John Gay	1733	1732
276072	Modern chivalry	H. H Brackenridge	Horace	1819	-8
276073	Miscellaneous works, comical & diverting	Jonathan Swift	Lucretius	1720	-55
276075	Midnight weddings	Mary Meeke	Robert Nugent	1814	1788
276082	Letters from Altamont in the capital	Charles Jenner	Mons. Pascal	1767	5000
276083	Letters from Altamont in the capital	null	Horace	1778	-8
276097	Christabelle, the maid of Rouen	Mary Ann Hanway	Pope	1814	5000
276113	The spiritual Quixote	Richard Graves	Edward Young	1783	1765
276114	The recluse of Norway	Anna Maria Porter	Montgomery	1814	5000
276116	The nominal husband	null	"William, Shakespeare"	1750	1616
276122	The life and adventures of Joe Thompson	Edward Kimber	Pope	1750	5000
276124	Life and adventures of Duncan Campbell	William Bond	Cicero	1720	-43
276126	Life and adventures of Duncan Campbell	William Bond	Cicero	1720	-43
276127	The history of Sir William Harrington	null	William Shenstone	1772	1763
276128	The history of Eliza Warwick	null	William Shakespeare	1778	1616
276148	Rosanne	Laetitia Matilda Hawkins	Cowper	1814	1800
276154	The honour of chivalry	Jeronimo Fernandez	Publius Ovidius Naso	1703	18
276155	Tell-tale sophas	John Battersby	Pope	1814	5000
277537	Female falshood	null	John Dryden	1722	1700
277617	Memoirs of Europe	Manley	Juvnal	1710	5000
279595	Nick of the woods	Robert Montgomery Bird	James Thomson	1837	1748
280044	Court tales	null	Nathaniel Lee	1717	1692
280894	The secret history of Arlus and Odolphus	null	Ovid	1710	18
280895	The secret history of Arlus and Odolphus	null	Ovid	1710	18
280901	The secret history of Arlus and Odolphus	null	Juvnal	1710	5000
281901	John Bulls last will and testament	John Arbuthnot	Domitius Ulpianus	1713	228
302876	The vicar of Wakefield	Oliver Goldsmith	Robert Burton	1786	1640
3063545	A second tale of a tub	Thomas Burnet	Franois Rabelais	1715	1553
3084387	A tale of a tub	Jonathan Swift	"Bishop of Lyon Irenaeus"	1760	19
3084453	A tale of a tub	Jonathan Swift	"Bishop of Lyon Irenaeus"	1769	19
311239	The whole comical works of Monsr. Scarron	Scarron	Martial	1703	104
3387037	Chrysal	Charles Johnstone	William Shakespeare	1767	1616
340846	The adventures of a bank-note	Thomas Bridges	Virgil	1770	-19
340850	The adventures of a hackney coach	null	William Shakespeare	1781	1616
340854	The adventures of a rupee	Helenus Scott	William Shakespeare	1782	1616
340856	The adventures of a rupee	Helenus Scott	William Shakespeare	1782	1616
340910	The adventures of an East-India rupee	Helenus Scott	William Shakespeare	1783	1616
340911	The adventures of a cork-screw	null	Alexander Pope	1775	1744
341318	The adventures of Roderick Random	Tobias George Smollett	Horace	1770	-8
341334	The American wanderer	null	Virgil	1783	-19
341342	The adventures of Arthur OBradley	John Potter	Virgil	1771	-19
341344	The Birmingham counterfeit	null	Alexander Pope	1772	1744
341345	Blandford races	null	Joseph Addison	1782	1719
341351	Charles and Charlotte	Pratt	Alexander Pope	1777	1744
341364	Chrysal	Charles Johnstone	William Shakespeare	1775	1616
341367	Colonel Orms	null	Isaac Watts	1781	1748
341368	Columella	Richard Graves	Horace	1779	-8
341378	Correspondents, an original novel	null	William Shakespeare	1776	1616
341379	The Count de Rethel	null	Voltaire	1779	1778
341380	The curate of Coventry	John Potter	Lucretius	1771	-55
341381	The genuine diestresses of Damon and Celia	William Renwick	Ovid	1771	18
341386	Dangerous connections	Choderlos de Laclos	Jean-Jacques Rousseau	1784	1778
341388	The delicate distress	Griffith	Mrs. Woolbrook	1775	5000
341392	Les delices du sentiment	null	Fenouillot de Falbaire M (Charles-Georges)	1781	5000
341410	Maria	George Monck Berkeley	Alexander Pope	1784	1744
341411	Emma Corbett	Pratt	T. (Tobias) Smollett	1780	1771
341415	Epistles for ladies	Eliza Fowler Haywood	Prior	1776	1141
341421	Fashionable follies	Thomas Vaughan	Homer	1782	5000
341427	A fathers instructions	Thomas Percival	Cicero	1779	-43
341429	A fathers instructions	Thomas Percival	Cicero	1776	-43
341431	The fault was all his own	Elizabeth Eyton Nichols	William Shakespeare	1771	1616
341433	Female friendship	null	Alexander Pope	1770	1744
341439	The female spectator	Eliza Fowler Haywood	Jane Dorrell	1775	5000
341452	The history of Arsaces, Prince of Betlis	Charles Johnstone	Horace	1774	-8
341467	The expedition of Humphry Clinker	Tobias George Smollett	Horace	1771	-8
341469	The Incas	Jean Franois Marmontel	Francois de Salignac de La Mothe- Fenelon	1777	1715
341471	The independent	A M'Donald	Juvenal	1784	130
341476	The Irish guardian	A Lady	James Beattie	1776	5000
341479	John Buncle, junior, gentleman	T Cogan	Ovid	1776	18
341480	The history of John Juniper, Esq	Charles Johnstone	Juvenal	1781	130
341486	The history of Lady Barton	Griffith	Pliny the Elder	1771	79
341490	Laura and Augustus	Young lady	Phillips	1784	5000
341506	Letters between two lovers	William Combe	Voltaire	1781	1778
341521	Letters from Lysander	Lysander	Horace	1773	-8
341524	Letters by Yorick and Eliza	Laurence Sterne	Mark Akenside	1779	1770
341526	The life and adventures of Joe Thompson	Edward Kimber	Alexander Pope	1783	1744
341528	The life of John Buncle, Esq	Thomas Amory	Florentius Volusenus	1770	1546
341529	The life of Lamenther	Anne Wall	William Shakespeare	1771	1616
341533	Love and madness. A story too true	Herbert Croft	Aphra Behn	1780	1689
341535	The loves of Calisto and Emira	John Seally	Matthew Prior	1776	1721
341536	The loves of Mirtil son of Adonis	null	Gaius Valerius Catullus	1770	5000
341541	The man of the world	Henry Mackenzie	Horace	1773	-8
341547	Memoirs of the Marquis de St. Forlaix	Nicolas Etienne Framery	Thomas Corneille	1770	1709
341548	The married victim	null	John Home	1772	9
341554	Memoirs of Maitre Jacques, of Savoy	null	Horace	1779	-8
341562	The history of Miss Temple	A Rogers	Edward Young	1777	1765
341563	The mistakes of the heart	Pierre Henri Treyssac de Vergy	Prior	1770	1141
341570	Mr. Bentley, the rural philosopher	Henry Man	Virgil	1775	-19
341576	The new modern story-teller	null	Phaedrus	1772	5000
341585	The old maid	Skinn	Ben Jonson	1771	1637
341597	Original love-letters	William Combe	Joseph Addison	1784	1719
341601	The paths of virtue delineated	null	William Congreve	1773	1729
341606	Adventures of Monsieur Pierre Viaud	Jean Gaspard Dubois-Fontanelle	Virgil	1771	-19
341607	The pilgrim	Charles Johnstone	Juvenal	1775	130
341608	The placid man	Charles Jenner	Terence	1770	159
341610	The placid man	Charles Jenner	Terence	1773	159
341614	The pupil of pleasure	Pratt	Livy	1776	5000
341618	The recess	Sophia Lee	William Shakespeare	1783	1616
341624	The reverie	Charles Johnstone	John Milton	1776	1674
341628	The royal adventurers	null	Robert Dodsley	1773	1764
341639	Shenstone-Green	Pratt	Shenstone	1779	1763
341640	Shenstone-Green	Pratt	William Shenstone	1780	1763
341650	Solyman and Almena	John Langhorne	Virgil	1780	-19
341652	Something new	Richard Griffith	Virgil	1772	-19
341658	The sorrows of Werter	Johann Wolfgang von Goethe	Virgil	1780	-19
341659	The spiritual Quixote	Richard Graves	Edward Young	1773	1765
341663	Sutton-Abbey	null	Elizabeth Carter	1780	5000
341666	The sylph	Georgiana Spencer Cavendish Devonshire	Alexander Pope	1779	1744
341667	A tale of a tub	Jonathan Swift	Lucretius	1781	-55
341672	The temple of virtue, a dream	David Fordyce	Elihu	1775	5000
341675	Letters between Theodosius and Constantia	John Langhorne	Guillaume Amfrye de Chaulieu	1770	1720
341690	The true anti-Pamela	James Parry	Thomas Otway	1770	1685
341694	The two mentors	Clara Reeve	Simonides	1783	468
341697	A true narrative of an unfortunate elopement	Thomas Simes	Matthew Prior	1770	1721
341711	Woodbury	null	Young	1773	5000
341712	The works of Dr Jonathan Swift	Jonathan Swift	Lucretius	1774	-55
341720	The works of the reverend Dr. Jonathan Swift	Jonathan Swift	Virgil	1772	-19
341722	The younger brother	null	Alexander Pope	1770	1744
3445990	The life and opinions of Tristram Shandy	Laurence Sterne	Horace	1782	-8
3448398	The pilgrims progress	John Bunyan	Hosea	1728	5000
3450674	The letters that passed between Theodosius	John Langhorne	Joseph Addison	1763	1719
3455155	History of Constantius and Pulchera	null	Nathaniel Lee	1821	1692
3455357	The rebels	Lydia Maria Francis Child	William Cullen Bryant	1825	5000
3455848	The elixir of moonshine	McDonald Clarke	Lunux	1822	5000
3456688	The spy	James Fenimore Cooper	Sir Walter Scott	1822	5000
3457680	The pilot	James Fenimore Cooper	George Alexander Stevens	1823	1784
3459911	Salmagundi	Washington Irving	George Psalmanazar	1820	1763
3468177	The valley of Shenandoah	George Tucker	"Henry, Sir Wotton"	1824	1639
