ident	id	idAuthor	target	idDate	targetDate	gender	totalMale	totalFemale	epMale	epFemale	percentMale	percentFemale
440208	The history of Henry Dumont, Esq	Charlotte Charke	Joseph Addison	1756	1719	Female
440213	The adventures of Jerry Buck	John Slade	Horace	1754	-8	Male
440214	The adventures of Jerry Buck	John Slade	Horace	1754	-8	Male
440221	The history of Miss Katty N----	null	Nicholas Rowe		1718	Female
440223	The memoirs of a young lady of quality	null	Alexander Pope	1756	1744	Female
440227	Lydia	John Shebbeare	Lucius Annaeus Seneca	1755	65	Male
440228	Lydia	John Shebbeare	Lucius Annaeus Seneca	1755	65	Male
440231	The fortunate country maid	Charles de Fieux Mouhy	William Congreve	1758	1729	Male
440240	The history of Pudica, a lady of N-rf-lk	Richard Gardiner	Nicholas Rowe	1754	1718	Male
440244	The theatre of love	null	William Shakespeare	1759	1616	Male
440253	Letters on several occasions	William Freeman	Cicero	1757	-43	Male
440254	The travels of Zoroaster	null	Horace	1753	-8	Male
440257	Court intrigues	null	Alexander Pope	1759	1744	Male
440266	The life of Mrs. Charlotte Charke	Charlotte Charke	John Gay	1755	1732	Female
440267	The life and adventures of Mrs. Charlotte Charke	Charlotte Charke	John Gay	1755	1732	Female
440268	Chiron	Charles Caraccioli	Horace	1758	-8	Male
440270	The empire of the Nairs	James Lawrence	Virgil	1813	-19	Male
440294	Adsonville	null	George Gordon Byron Byron	1824	5000	Male
440296	An antidote to the miseries of human life	Harriet Corp	James Thomson	1808	1748	Male
440298	The adventures of Capt. Greenland	William Goodall	"William, Shakespeare"	1752	1616	Male
440306	The history of Fanny Seymour	null	Virgil	1753	-19	Male
440310	The life and history of a pilgrim	George Wollaston	Virgil	1753	-19	Male
440311	The life and history of a pilgrim	George Wollaston	Virgil	1753	-19	Male
440334	New tales	Amelia Opie	William Shakespeare	1818	1616	Female
440357	Adsonville	null	George Gordon Byron Byron	1824	5000	Male
440360	An antidote to the miseries of human life	Harriet Corp	James Thomson	1808	1748	Male
440362	The adventures of Capt. Greenland	William Goodall	"William, Shakespeare"	1752	1616	Male
440370	The history of Fanny Seymour	null	Virgil	1753	-19	Male
440374	The life and history of a pilgrim	George Wollaston	Virgil	1753	-19	Male
440375	The life and history of a pilgrim	George Wollaston	Virgil	1753	-19	Male
440395	New tales	Amelia Opie	William Shakespeare	1818	1616	Female
440401	The history of Pompey the Little	Francis Coventry	Virgil	1752	-19	Male
440405	The reformd coquet	Davys Mary	Erasmus	1752	1536	Female
440411	The castle of otranto	Horace Walpole	Horace	1791	-8	Male
440412	Farmer of New-Jersey	John Davis	"James, Thomson"	1800	1748	Male
440420	The quakers	Elizabeth B Lester	Voltaire	1817	1778	Female
440421	The quakers	Elizabeth B Lester	Voltaire	1818	1778	Female
4732386	Young Scarron	John Murdoch	Michel de Montaigne	1783	1592	Male
4756565	The history of the renowned Don Quixote	Miguel de Cervantes Saavedra	Lucius Annaeus Seneca	1700	65	Male
4785227	Heloise	George Monck Berkeley	Spenser Edmund	1788	1599	Male
4806147	The life of Aristides	Patrick Delany	Plutarch	1714	5000	Male
5007461	The new sylph	null	Antoine Leonard Thomas	1788	1785	Male
54482	Wieland	Charles Brockden Brown	Charles Brockden Brown	1798	5000	Male
59418	Trials of the human heart	Rowson	Joseph Addison	1795	1719	Female
5942278	Harrisons edition	George Lyttelton Lyttelton	Lucretius	1785	-55	Male
5946802	The extrordinary adventures of Donald Campbell	Donald Campbell	Edward Young	1799	1765	Male
6134731	A new voyage to the Island of Fools	Noble Venetian	Ovid	1713	17	Male
73133	The savages of Europe	Robert Martin Lesuire	Ovid	1764	18	Male
73408	The Algerine captive	Royall Tyler	William Shakespeare	1797	1616	Male
73842	Mentoria	Rowson	Epigraph likely written by the author	1794	5000	Female
75774	Memoirs of the year two thousand five hundred	Louis-Sebastien Mercier	Leibniz	1795	1716	Male
87503	The castle of Otranto	Horace Walpole	Horace	1786	8	Male
88576	Humanity in Algiers	American	John Milton	1801	1674	Male
88846	The errors of innocence	Harriet Lee	William Shakespeare	1786	1616	Female
