id	idAuthor	target	idDate	targetDate
A New-England tale	Sedgwick, Catharine Maria	Robert Burns	1822	1759
Redwood	Sedgwick, Catharine Maria	William Paley	1824	1743
A voyage to the moon	Tucker, George	Shakespeare	1827	1564
The thatcher's wife	Marks, Richard	John Newton	1824	1725
Ellen	Marshall	Watts, Isaac	1820	1674
A visit to a sabbath evening school	Sabbath school teacher	Fawcett, John	1818	1768
The witch of New England	M\'Call, John C	Thomas Middleton	1824	1580
The new sylph, or	null	Antoine Leonard Thomas	1788	1732
Eleanora	null	Petrarch	1785	1653
The castle of Otranto, a gothic story	Walpole, Horace	Horace	1786	1799
Humanity in Algiers	American	Milton, John	1801	1608
The story of St. Alb-ns ghost	Wagstaffe, William	Virgil	1712	1448
A father's instructions	Percival, Thomas	John Gay	1800	1685
Friendship in death	Rowe, Elizabeth Singer	Virgil	1728	1448
Memoirs of the life of Count de Grammont	Hamilton, Anthony	Charles de Saint-Evremond	1714	1614
Female falshood	null	John Dryden	1722	1631
John Bull's last will and testament	Arbuthnot, John	Rosini	1713	1776
Trials of the human heart	Rowson	Joseph Addison	1795	1672
A narrative of the extraordinary adventures	Campbell, Donald	Edward Young	1799	1683
The Algerine captive	Tyler, Royall	William Shakespeare	1797	1564
Memoirs of the year two thousand five hundred	Mercier, Louis-SeÃÅbastien	Leibniz	1795	1646
Miscellaneous works, prose and poetical	Linn, John Blair	Horace	1795	1799
Modern chivalry	Brackenridge, H. H	Juvenal	1792	1388
The young widow	Hayley, William	Petrarch	1789	1653
The stage-coach. Containing the character	Smythies	Matthew Prior	1789	1664
The exiles	Reeve, Clara	Horace	1788	1799
The man of bene	null	Pope, Alexander	1789	1688
Camilla	null	Alexander Pope	1788	1688
The Recess	Lee, Sophia	William Shakespeare	1787	1564
The recess	Lee, Sophia	William Shakespeare	1787	1564
Retribution	Mackenzie, Anna Maria	Alexander Pope	1788	1688
Belinda, or, the fair fugitive	C----	George Lyttelton	1789	1709
Orlando and Seraphina	Nicholson	Horace	1787	1799
Death's a friend	Author of the Bastard	Porteous.	1788	1900
Agnes De-Courci	Bennett	Paul Scarron	1789	1610
Caroline of Lichtfield	Montolieu, Isabelle de	Voltaire	1786	1694
The gamesters	Mackenzie, Anna Maria	John Dryden	1786	1631
The letters of Charlotte	James, William	John Milton	1786	1608
Melissa and Marcia	Hervey, Elizabeth	Mark Akenside	1788	1721
The amicable Quixote	null	Jean-Baptiste Rousseau	1788	1670
The life and adventures of Anthony Leger	null	John Dryden	1789	1631
Little truths better than great fables	Darton, William	Vicesimus Knox	1800	1752
Heloise	Berkeley, George Monck	Edmund Spencer	1788	1552
Louisa	Helme, Elizabeth	James Thomson	1787	1700
Zeluco	Moore, John	Juvenal	1789	1388
Argus	Mathews, Charles	Pietro Metastasio	1789	1698
Harrison's edition	Lyttelton, George Lyttelton	Lucretius	1785	1506
The interesting narrative of the life of	Equiano, Olaudah	Isaiah	1792	1909
Adelaide de Grammont	null	Giovanni Battista Guarini	1804	1538
Agnes	null	Alexander Pope	1822	1688
Brambleton Hall	null	Horace	1818	1799
The power of sympathy	Brown, William Hill	William Hill Brown	1789	1765
Discipline	Brunton, Mary	Joanna Baillie	1814	1762
Self-control	Brunton, Mary	William Cowper	1811	1731
Traits of nature	Burney, Sarah Harriet	William Shakespeare	1812	1564
Traits of nature	Burney, Sarah Harriet	William Shakespeare	1813	1564
Blue-stocking hall	Chetwode	William Shakespeare	1827	1564
The express	Maintenon	Horace	1819	1799
Hannah Hewit	Dibdin, Charles	William Shakespeare	1792	1564
Continental adventures	Eaton, Charlotte A	Back	1826	1630
Marriage	Ferrier, Susan	Jeremy Taylor.	1818	1613
The inheritance	Ferrier, Susan	Jean de La Bruyere	1824	1645
Lawrie Todd	Galt, John	William Shakespeare	1830	1564
Rothelan	Galt, John	George Gordon Byron	1824	1788
Osmond, a tale	Kelty, Mary Ann	George Crabbe	1822	1754
Trials	Kelty, Mary Ann	Isaac Watts	1824	1674
Lady Jane's pocket	Author of Silvanella	D. Lewis	1815	1910
The monk	Lewis, M. G	Horace	1796	1799
Romantic tales	Lewis, M. G	George Crabbe	1808	1754
Tales of wonder	Lewis, M. G	Thomas Middleton	1801	1580
Love and satire	null	Jean-Jacques Rousseau	1805	1712
The Albigenses, a romance	Maturin, Charles Robert	William Shakespeare	1824	1564
Fatal revenge	Maturin, Charles Robert	Lucian	1807	1935
The wild Irish boy	Maturin, Charles Robert	Edmund Spenser	1824	1522
The asylum	Jackson, Daniel	Timothy Dwight	1811	1752
Headlong Hall	Peacock, Thomas Love	Jonathan Swift.	1816	1667
Maid Marian	Peacock, Thomas Love	William Shakespeare	1822	1564
Don Sebastian	Porter, Anna Maria	William Shakespeare	1809	1564
Honor O'Hara	Porter, Anna Maria	Thomas Erskine	1826	1815
The Hungarian Brothers	Porter, Anna Maria	Edward Young	1807	1683
The Knight of St. John, a romance	Porter, Anna Maria	Jean Charles Léonard de Sismondi	1817	1773
The lake of Killarney	Porter, Anna Maria	John Milton	1804	1608
Octavia	Porter, Anna Maria	Robert Dodsley	1798	1703
The recluse of Norway	Porter, Anna Maria	James Montgomery	1814	1861
The village of Mariendorpt. A tale	Porter, Anna Maria	Robert Potter	1821	1721
A Sicilian romance	Radcliffe, Ann Ward	William Shakespeare	1790	1564
Destination	Reeve, Clara	John Milton	1799	1608
The natural daughter	Robinson, Mary	William Shakespeare	1799	1564
The children of the abbey	Roche, Regina Maria	James Thomson	1807	1700
Contrast. In three	Roche, Regina Maria	Isaac Watts	1828	1674
The Munster cottage boy. A tale. In four	Roche, Regina Maria	James Beattie	1820	1735
Nocturnal visit. A tale. In four	Roche, Regina Maria	William Shakespeare	1800	1564
Trecothick Bower	Roche, Regina Maria	David Mallet	1816	1677
The vicar of Lansdowne	Roche, Regina Maria	Mark Akenside	1802	1721
The marchioness!!! Or	Ross	John Gay	1813	1685
Ringstead abbey	Sargant, J. A	William Shakespeare	1830	1564
Truckleborough Hall	Scargill, William Pitt	Charles Dibdin	1827	1745
Siberian anecdotes	null	Matthew Prior	1783	1664
The banished man	Smith, Charlotte	Pietro Metastasio	1794	1698
The old manor house	Smith, Charlotte	Jean-Jacques Rousseau	1793	1712
Tales of terror	null	William Drummond	1801	1585
Tales of wonder	Lewis, M. G	Thomas Middleton	1801	1580
The vallies	Tempest, Basil	Sterne.	1827	1713
Characters at Brighton	Trelawney, Anne	William Shakespeare	1808	1564
Cottage on the cliff, a sea side story	Ward, Catherine G	William Shakespeare	1823	1564
The daughter of St. Omar	Ward, Catherine G	John Home	1810	1722
The fisher's daughter	Ward, Catherine G	Sir Walter Scott	1824	1771
The forest girl	Ward, Catherine G	John Bowdler	1826	1746
The advantages of education	West, Jane	Gilbert West	1803	1703
The woman of genius. In three	null	Mark Akenside	1821	1721
Monimia	null	Thomas Otway	1791	1652
Stellins	null	Johann Wolfgang Goethe	1793	1749
The lady's miscellany	null	John Dryden	1760	1631
The new novelist	null	John Gay	1795	1685
Love in excess	Haywood, Eliza Fowler	John Dryden	1721	1631
The history of Charlotte Villars	Mukins, Isaac	Horace	1756	1799
The adventures of a hackney coach	null	William Shakespeare	1781	1564
The frolics of fancy, a familiar epistle	Thomas, Rowley	Hor.	1785	1799
Euphrosyne	Graves, Richard	Ovid	1776	1601
Canterbury tales for the year 1797	Lee, Harriet	William Cowper	1797	1731
The reverie	Johnstone, Charles	John Milton	1763	1608
The adventures of Peregrine Pickle	Smollett, Tobias George	Horace	1751	1799
Memoirs of the year two thousand five hundred	Mercier, Louis-SeÌbastien	Leibnitz	1795	1916
The Irish emigrant	null	Philips.	1817	1540
Jemima and Louisa	Lady	Clive	1759	1898
The history of Pompey the Little	Coventry, Francis	Horace	1751	1799
