id	idAuthor	target	idDate	targetDate
Secret memoirs of the late Mr. Duncan Campbel	Duncan Campbell	George Chandler	1732	5000
The happy-unfortunate	Elizabeth Boyd	Joseph Addison	1732	1719
The happy-unfortunate	Lydia Grainger	Lydia Grainger	1733	5000
Modern chivalry	H. H Brackenridge	Horace	1819	-8
Miscellaneous works, comical & diverting	Jonathan Swift	Irenaeus	1720	202
Midnight weddings	Mary Meeke	Robert Nugent	1814	1788
Letters from Altamont in the capital	Charles Jenner	Mons. Pascal	1767	5000
Letters from Altamont in the capital	null	Horace	1778	-8
Christabelle, the maid of Rouen	Mary Ann Hanway	Pope	1814	5000
The spiritual Quixote	Richard Graves	James Dodsley	1783	5000
The recluse of Norway	Anna Maria Porter	Montgomery	1814	5000
The nominal husband	null	George, Woodfall	1750	5000
The life and adventures of Joe Thompson	Edward Kimber	Pope	1750	5000
The history of the life and adventures of	William Bond	Daniel, Defoe	1720	5000
The history of the life and adventures of	William Bond	Daniel, Defoe	1720	5000
The history of Sir William Harrington	null	John Bell	1772	5000
The history of Eliza Warwick. In two	null	William Shakespeare	1778	1616
Rosanne	Laetitia Matilda Hawkins	Cowper	1814	1800
The honour of chivalry	Jeronimo Fernandez	Ovid	1703	18
Tell-tale sophas, an eclectic fable	John Battersby	Pope.	1814	5000
Female falshood	null	John Walthoe	1722	5000
Memoirs of Europe	Manley	Louisa of Savoy	1710	5000
Nick of the woods	Robert Montgomery Bird	James Thomson	1837	1748
Court tales	null	Louis Du Guernier	1717	1716
The secret history of Arlus and Odolphus	null	Ovid	1710	18
The secret history of Arlus and Odolphus	null	Ovid	1710	18
The secret history of Arlus and Odolphus	null	Jonathan Swift	1710	5000
John Bull's last will and testament	John Arbuthnot	Rosini	1713	5000
The vicar of Wakefield	Oliver Goldsmith	William Thomson	1786	5000
A second tale of a tub	Thomas Burnet	Franois Rabelais	1715	1553
A tale of a tub	Jonathan Swift	L. Conrfort	1760	5000
A tale of a tub	Jonathan Swift	Titus Lucretius Carus	1769	0055
The whole comical works of Monsr. Scarron	Scarron	Martial	1703	0104
Chrysal	Charles Johnstone	William Shakespeare	1767	1616
The adventures of a bank-note. In two	Thomas Bridges	Virgil	1770	-19
The adventures of a hackney coach	null	William Shakespeare	1781	1616
The adventures of a rupee	Helenus Scott	George A. (George Alexander) Sir Drummond	1782	5000
The adventures of a rupee	Helenus Scott	Lucretius	1782	-55
The adventures of an East-India rupee	Helenus Scott	Joseph P. (Joseph Parker) Norris	1783	5000
The adventures of a cork-screw	null	Alexander Pope	1775	1744
The adventures of Roderick Random. In two	Tobias George Smollett	Horace	1770	-8
The American wanderer	null	Tervoe	1783	5000
The history of the adventures of Arthur O	John Potter	Virgil	1771	-19
The Birmingham counterfeit	null	Alexander Pope	1772	1744
Blandford races	null	Joseph Addison	1782	1719
Charles and Charlotte. In two	Pratt	William Lane	1777	5000
Chrysal	Charles Johnstone	John Merryweather	1775	5000
Colonel Orms	null	Isaac Watts	1781	1748
Columella	Richard Graves	James Dodsley	1779	5000
Correspondents, an original novel	null	William Shakespeare	1776	1616
The Count de Rethel	null	T. Hookham (Firm)	1779	5000
The curate of Coventry	John Potter	Virgil	1771	-19
The genuine diestresses of Damon and Celia	William Renwick	Francis Newbery	1771	5000
Dangerous connections	Choderlos de Laclos	Jean-Jacques Rousseau	1784	1778
The delicate distress	Griffith	John Russell Duke of Bedford	1775	5000
Les delices du sentiment	null	John MacGowan	1781	5000
Maria	George Monck Berkeley	Baron Fitzou	1784	5000
Emma Corbett	Pratt	Tobias Smollett	1780	1771
Epistles for ladies	Eliza Fowler Haywood	Prior	1776	1141
Fashionable follies	Thomas Vaughan	Patrick Byrne	1782	5000
A father's instructions	Thomas Percival	Cicero	1779	-43
A father's instructions to his children consisting	Thomas Percival	Cicero	1776	-43
The fault was all his own	Elizabeth Eyton Nichols	William Shakespeare	1771	1616
Female friendship	null	T. Walker	1770	1705
The female spectator	Eliza Fowler Haywood	Jane Dorrell	1775	5000
The history of Arsaces, Prince of Betlis	Charles Johnstone	Horace	1774	-8
The expedition of Humphry Clinker	Tobias George Smollett	Horace	1771	-8
The Incas	Jean Franois Marmontel	Francois de Salignac de La Mothe- Fenelon	1777	1715
The independent	A M\Donald	W. Porter	1784	5000
The Irish guardian. A pathetic story	A Lady	James Beattie	1776	5000
