id	title	author	date	epigraph_author	d	4	5
341439	The female spectator. By Mrs Eliza Haywood. In four volumes. Volume I.	"Haywood, Eliza Fowler"	1775	['Jane Dorrell']		['Author (epigraph)']	['Unauthorized']
341452	"The history of Arsaces, Prince of Betlis. [Epigraph.] By the editor of Chrysal. In two volumes. Volume I."	"Johnstone, Charles"	1774	['Horace']		['Author (epigraph)']	['Authorized']
341467	The expedition of Humphry Clinker. By the author of Roderick Random. In three volumes. Vol. I.	"Smollett, Tobias George"	1771	['Horace']		['Author (epigraph)']	['Authorized']
341469	"The Incas: or, the destruction of the empire of Peru. By M. Marmontel. In two volumes. Vol. I."	"Marmontel, Jean FranÃÅois"	1777	"['FeÌÅnelon, FrancÌ§ois de Salignac de La Mothe-']"	['1651-1715']	['Author (epigraph)']	['Authorized']
341471	The independent. A novel. Two volumes in one. Vol. I.	"M\'Donald, A"	1784	['Juvenal']		['Author (epigraph)']	['Authorized']
341476	The Irish guardian. A pathetic story. In two volumes. By a lady. Vol. I.	A Lady	1776	"['Beattie, James']"	['1735-1803']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	['Ovid']		['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Goldsmith, Oliver']"	['1730?-1774']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	['Voltaire']	['1694-1778']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Congreve, William']"	['1670-1729']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Thomson, James']"	['1700-1748']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	['Horace']		['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Rousseau, Jean-Jacques']"	['1712-1778']	['Author (epigraph)']	['Authorized']
